business_id,name,rating,review_count,overall_sentiment_vader,instructor_sentiment_vader,cleanliness_sentiment_vader,intensity_sentiment_vader,vibe_sentiment_vader,customer_service_sentiment_vader,space_equipment_sentiment_vader,parking_sentiment_vader,price_sentiment_vader,variety_sentiment_vader,crowdedness_sentiment_vader,music_sentiment_vader,city,address,latitude,longitude,google_place_id,google_rating,google_user_ratings_total
CuZIRl-YRM0uVYH5rgyauQ,Mighty Pilates Westwood,4.7,17,0.4532736842105263,0.5326500000000001,0.80715,0.4404,0.9623,0.9623,0.9623,0.53825,0.34,0.46715,0.7783,0.34,Los Angeles,10935 Weyburn Ave,34.06274909420108,-118.4465603,ChIJeX9WW_S9woARpO4-e6k1uhs,4.9,87
ffnzKGWYys_6hOc1biDyhg,Lagree Underground,4.4,99,0.0900777777777777,-0.15565,0.7233,-0.9506,0.8316,-0.0323499999999999,0.4158,-0.9506,-0.9506,-0.9506,0.0,-0.9506,West Hollywood,7912 Santa Monica Blvd,34.090593,-118.361995,ChIJZ3LOtNi_woARKfUb7X1EMMQ,4.1,72
w9DH22bbWqJXlC3mkpdbOA,LA Private Pilates,5.0,13,0.3405749999999999,0.40562,0.9213,0.9213,0.5561,0.9213,0.9213,0.9213,0.9213,0.3753,0.9213,0.5561,Los Angeles,,34.1235157,-118.3286614,ChIJ__-oA6m-woARLlyTO_D6x7E,5,23
c8Jpao6U-bsZwdRhzT6SoA,Goodwin Studios,5.0,8,0.3774277777777777,0.3236666666666666,0.9676,0.9676,0.3753,0.5598,0.9676,0.9676,0.9676,0.0,0.9676,0.9676,Los Angeles,2001 S Barrington Ave,34.0365689,-118.45028,ChIJj3pnSQ27woARAO1v9fl50u8,4.4,8
TCYo2llrErZjpzL6Nnn34A,Coreology DTLA,4.7,29,0.4874750000000001,0.5995,0.9822,0.7717,0.9822,0.7717,0.9822,0.38585,0.9822,0.9822,0.7125,0.4404,Los Angeles,777 Alameda St,34.03356273133662,-118.24142914471604,ChIJJ144H93HwoARgSm3II8kORA,5,12
jp-4MK_I0aka4_N_K2hX5Q,Forme Lagree,5.0,7,0.4590388888888889,0.7058,0.749,0.7003,0.8122,0.9884,0.9884,0.9884,0.9884,0.66445,0.31245,0.9884,Burbank,4106 West Magnolia Blvd,34.166125,-118.351257,ChIJpwUZblGVwoARZJoQ0BMfdcw,5,13
gcrBn2GEkZnMmY_0C7qkDA,Club Pilates,5.0,6,0.4506181818181817,0.58506,0.9848,0.8165,0.891,0.603,0.6367,0.62124,0.9848,0.9848,0.9848,0.9848,Los Angeles,3701 S La Brea Ave,34.01963045678148,-118.35610483879226,ChIJ5VLMzMS_woARIe7MXgNxFL0,5,3
5wmB7x90fCURNO1ELQLegA,High Intensity Pilates,4.3,20,0.10982,0.5485,0.5485,-0.2301,0.5485,0.5485,0.5485,0.7125,0.2263,-0.00645,0.5485,0.5485,Los Angeles,11553 Ventura Blvd,34.1400565,-118.3831787,ChIJtyV0vxO_woARSXdaFfm9zoA,4.9,89
7vduPffPsW8xIsB7Rf0dgA,Pilates Eagle Rock,4.9,24,0.3400826086956521,0.0,0.6369,0.4404,0.6369,0.5292,0.9538,0.5386500000000001,0.9538,0.31845,0.9538,0.9538,Los Angeles,5112 Townsend Ave,34.13989291309091,-118.2009332613608,ChIJbV4dx2DBwoARQa6Rc1r1hrA,5,4
BZ0NEUIR_QpoIH821-H14w,Sweat Pilates Mar Vista,4.8,16,0.1091,0.425,0.8035,0.2565,0.8035,0.8035,0.8035,0.8035,0.8035,0.5106333333333334,0.8035,0.8035,Los Angeles,3521 S Centinela Ave,34.010046,-118.4385942,ChIJY4iZzgu7woAReNjYb9C5LGg,4.8,9
ElqxdJEN3_Jy5eFLSTLyHw,Preme Pilates,5.0,2,0.29542,0.4201,0.9298,0.9298,0.9298,0.9298,0.9298,0.9298,0.9298,0.9298,0.9298,0.9298,Los Angeles,3785 Wilshire Blvd,34.062323332116314,-118.308735,ChIJzS3Sz82kwoARaVFtEKCv61U,4.7,59
QFGh0Dqd6mDSxL8hiP3iUQ,Club Pilates,3.3,28,0.1385277777777778,0.485175,0.854,0.6652,0.854,0.5742,0.4692,0.79045,0.9069,0.03935,-0.1027,0.9069,Los Angeles,724 S La Brea Ave,34.06154,-118.3439622,ChIJ5VLMzMS_woARIe7MXgNxFL0,5,3
sZeps9heCBV8s06MVIjPfA,Avenir Hollywood,5.0,1,0.436,0.8696,0.8696,0.8696,0.8696,0.8696,0.8696,0.8696,0.8696,0.8696,0.8696,0.8696,Los Angeles,6933 Santa Monica Blvd,34.09088026778819,-118.340864,ChIJgULqozu_woARC8G7_6STFaI,5,9
M2yZGgrUBpYC3K5QAvaK7g,The Studio MDR Culver,4.9,87,0.2144777777777778,0.4019,0.9728,0.9728,0.9728,0.9728,0.0,0.9728,0.9728,0.4939,0.9728,0.9728,Culver City,9901 Washington Blvd,34.021754,-118.398146,ChIJ89eJoXW7woAR5ect1QN324Y,5,75
SBvj4zmlmHb24wXwtE4JJg,Hess pilates,5.0,7,0.4104111111111111,0.35525,0.9739,0.9739,0.6249,0.4215,0.9118,0.0,0.9739,0.9118,0.0,0.9739,Los Angeles,1010 Wilshire Blvd,34.051513135314586,-118.262227280482,ChIJpc0nrxrHwoARlDisRtIzKDM,4.9,60
kNe9EhsMKCzvQmD_EhfExA,The Reformation Station,4.7,19,0.2270058823529412,0.5818,0.9736,0.8225,0.9736,0.5267,0.5479333333333334,0.9736,0.9736,0.0,0.9736,0.9736,Los Angeles,2222 Pasadena Ave,34.07528,-118.21784,ChIJe4hyCYjGwoARY5aygi-wZbs,5,5
H1M-QfoZu-EwdaA61r45Ug,The Studio MDR,4.9,423,0.3004454545454545,0.4535999999999999,0.9839,0.44415,0.8705,0.35055,0.9839,0.0,0.9839,0.0,0.9839,0.9839,Marina del Rey,330 Washington Blvd,33.98053,-118.46373,ChIJDxjTmaK6woARmzu1raIKL4Y,4.9,160
2wjweYHjHTpZNtYs1GRQgg,Pialatesyoga,5.0,12,0.3736411764705883,0.4805333333333334,0.9459,0.296,0.9459,0.9459,0.9459,0.9459,0.9459,0.2123,0.9459,0.9459,Los Angeles,230 N Larchmont Blvd,34.0756062,-118.3234102,ChIJ__-oA6m-woARLlyTO_D6x7E,5,23
